Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Field4,Field5,Field6,Field7,Field8
1,2,"C2, C8",2012/0.1uF,C_Small,C_0805,,,,,,
2,1,C3,2012/100nF,C_Small,C_0805,,,,,,
3,1,D1,2012/BLUE,LED_Small,LED_0805,,,,,,
4,1,D2,2012/YELLOW,LED_Small,LED_0805,,,,,,
5,1,DS1,18PIN LCD,LCD_SPI_18P,FFC-1x18-1MP_P0.80mm,,,,,,
6,1,DS2,40PIN LCD,HT024SQV010NH,05002HR-40C_1x40-1MP_P0.50mm_Horizontal,,,,,,
7,4,"H1, H2, H5, H6",MountingHole,MountingHole,LanyardHole_6mm,,,,,,
8,1,J1,DevKitC_L,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical_BackOnly,,,,,,
9,1,J2,DevKitC_R,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical_BackOnly,,,,,,
10,1,J4,ADC_3,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,,,,,,
11,1,J5,ADC_2,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,,,,,,
12,1,J6,ADC_1,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,,,,,,
13,1,J7,DAC_1,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,,,,,,
14,1,J8,DAC_2,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,,,,,,
15,1,J9,HSPI,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,,,,,,
16,1,J10,IR333C,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,,,,,,
17,1,J11,DUST,Conn_01x06_Female,PinSocket_1x06_P2.54mm_Vertical,,,,,,
18,1,J12,DevKitC_L_SMD,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical_SMD_Pin1Right,,,,,,
19,1,J13,DevKitC_R_SMD,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical_SMD_Pin1Left,,,,,,
20,1,J14,220uF,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,,,,,,
21,1,LCD1,"2.4"" LCD 18PIN",Housing,2.4INCH_TFT_LCD_18P_0.80mm_FOLD,,,,,,
22,1,LCD2,"2.4"" LCD 40PIN",Housing,2.4INCH_TFT_LCD_40P_0.50mm_FOLD,,,,,,
23,1,Q1,SOT23/2N7002,2N7002,SOT-23,https://www.fairchildsemi.com/datasheets/2N/2N7002.pdf,,,,,
24,3,"R4, R8, R9",2012/4.7R,R_Small,R_0805_2012Metric,,,,,,
25,2,"R5, R6",2012/1K,R_Small,R_0805_2012Metric,,,,,,
26,1,R7,2012/220R,R_Small,R_0805_2012Metric,,,,,,
27,1,SW3,ITS-1103S,SW_Push,ITS-1103S,,ILOSAM,,,,
28,1,SW6,ITS-1103S,SW_Push,ITS-1103S,,ILOSAM,,,,
29,1,SW7,ITS_1500S_B,SW_5WAY,ITS-1500S-B,,ILOSAM,,,,
30,1,U1,ESP32-DEVKITC-32D,ESP32-DEVKITC-32D,MODULE_ESP32-DEVKITC-32D-SILKONLY-SIMPLE,None,Espressif Systems,ESP32-DEVKITC-32D,None,Eval Board For Esp-Wroom-32,Unavailable
